fecha_venta;familia;cantidad;gramos
2022-09-07;VAINILLA;1;1150
2022-09-07;VAINILLA;1;950
2022-09-09;VAINILLA;1;1100
2022-09-10;MENTA;1;1100
2022-09-12;MENTA;1;600
2022-09-13;CHOCOLATE;1;1000
2022-09-15;MENTA;1;450
2022-09-15;FRUTILLA;1;450
2022-09-15;CHOCOLATE;1;800
2022-09-20;VAINILLA;1;1250
2022-09-26;VAINILLA;1;1400
2022-09-28;MENTA;1;450
2022-09-30;FRUTILLA;1;700
2022-09-30;CHOCOLATE;1;600
2022-10-01;MENTA;1;600
2022-10-01;VAINILLA;1;1100
2022-10-01;MENTA;1;550
2022-10-01;CHOCOLATE;1;1000
2022-10-04;VAINILLA;1;1700
2022-10-07;VAINILLA;1;1000
2022-10-12;MENTA;1;500
2022-10-12;MENTA;1;550
2022-10-12;MENTA;1;450
2022-10-12;VAINILLA;1;2500
2022-10-14;MENTA;1;450
2022-10-19;FRUTILLA;1;300
2022-10-19;CHOCOLATE;1;900
2022-10-26;MANGO;1;1600
2022-10-28;VAINILLA;1;1650
2022-11-02;MENTA;1;1600
2022-11-02;MENTA;1;900
2022-11-04;VAINILLA;1;1250
2022-11-05;VAINILLA;1;600
2022-11-05;MENTA;1;1300
2022-11-07;MENTA;1;1700
2022-11-08;CHOCOLATE;1;1000
2022-11-11;CHOCOLATE;1;1350
2022-11-11;MENTA;1;500
2022-11-12;CHOCOLATE;1;1450
2022-11-19;MENTA;1;450
2022-11-23;CHOCOLATE;1;1250
2022-11-24;MENTA;1;1050
2022-11-30;VAINILLA;1;1100
2022-12-02;FRUTILLA;1;500
2022-12-06;MANGO;1;1350
2022-12-06;MENTA;1;850
2022-12-07;CHOCOLATE;1;2300
2022-12-07;MENTA;1;950
2022-12-07;VAINILLA;1;2000
2022-12-07;VAINILLA;1;2550
2022-12-07;VAINILLA;1;1000
2022-12-07;CHOCOLATE;1;1000
2022-12-07;FRUTILLA;1;600
2022-12-09;MENTA;1;1100
2022-12-09;CHOCOLATE;1;500
2022-12-10;VAINILLA;1;1650
2022-12-10;MENTA;1;500
2022-12-10;FRUTILLA;1;300
2022-12-10;VAINILLA;1;650
2022-12-13;MENTA;1;500
2022-12-17;MENTA;1;500
2022-12-19;CHOCOLATE;1;2450
2022-12-20;MANGO;1;2300
2022-12-21;MENTA;1;750
2022-12-21;VAINILLA;1;1250
2022-12-21;MENTA;1;900
2022-12-22;MENTA;1;1000
2022-12-22;FRUTILLA;1;500
2022-12-22;FRUTILLA;1;750
2022-12-22;MENTA;1;600
2022-12-22;MENTA;1;950
2022-12-22;CHOCOLATE;1;900
2022-12-23;CHOCOLATE;1;2000
2022-12-23;FRUTILLA;1;450
2022-12-23;CHOCOLATE;1;1100
2022-12-23;MENTA;1;400
2022-12-23;MENTA;1;1700
2022-12-24;VAINILLA;1;1050
2022-12-26;CHOCOLATE;1;1600
2022-12-27;CHOCOLATE;1;1350
2022-12-27;FRUTILLA;1;450
2022-12-27;CHOCOLATE;1;2550
2022-12-30;VAINILLA;1;1900
2022-12-31;CHOCOLATE;1;2000
2022-12-31;FRUTILLA;1;650
2022-12-31;CHOCOLATE;1;4050
2022-12-31;CHOCOLATE;1;1750
2022-12-31;FRUTILLA;1;450
2022-12-14;MENTA;1;1150
2022-01-03;MENTA;1;450
2022-01-04;CHOCOLATE;1;1050
2022-01-04;CHOCOLATE;1;400
2022-01-04;FRUTILLA;1;500
2022-01-04;CHOCOLATE;1;750
2022-01-04;MENTA;1;400
2022-01-05;VAINILLA;1;2150
2022-01-05;MENTA;1;400
2022-01-05;MENTA;1;750
2022-01-05;CHOCOLATE;1;1450
2022-01-05;VAINILLA;1;1350
2022-01-06;CHOCOLATE;1;5350
2022-01-06;CHOCOLATE;1;1500
2022-01-07;CHOCOLATE;1;700
2022-01-07;CHOCOLATE;1;2000
2022-01-07;FRUTILLA;1;800
2022-01-07;MENTA;1;550
2022-01-10;CHOCOLATE;1;1850
2022-01-10;MANGO;1;750
2022-01-10;CHOCOLATE;1;800
2022-01-11;CHOCOLATE;1;700
2022-01-12;MENTA;1;900
2022-01-13;FRUTILLA;1;450
2022-01-15;FRUTILLA;1;3250
2022-01-15;MENTA;1;550
2022-01-15;MENTA;1;700
2022-01-15;VAINILLA;1;1900
2022-01-18;MENTA;1;350
2022-01-20;CHOCOLATE;1;700
2022-01-25;VAINILLA;1;2050
2022-01-27;VAINILLA;1;850
2022-01-27;CHOCOLATE;1;2000
2022-01-27;MENTA;1;850
2022-01-28;VAINILLA;1;850
2022-01-29;FRUTILLA;1;800
2022-01-31;MENTA;1;950
2022-02-02;FRUTILLA;1;350
2022-02-02;FRUTILLA;1;600
2022-02-02;VAINILLA;1;1900
2022-02-02;VAINILLA;1;2150
2022-02-04;MENTA;1;750
2022-02-04;CHOCOLATE;1;550
2022-02-07;CHOCOLATE;1;800
2022-02-08;MENTA;1;1000
2022-02-08;VAINILLA;1;3000
2022-02-09;CHOCOLATE;1;300
2022-02-09;CHOCOLATE;1;800
2022-02-09;FRUTILLA;1;700
2022-02-09;FRUTILLA;1;1250
2022-02-11;VAINILLA;1;2050
2022-02-11;CHOCOLATE;1;2800
2022-02-11;VAINILLA;1;1000
2022-02-14;CHOCOLATE;1;300
2022-02-14;FRUTILLA;1;350
2022-02-14;CHOCOLATE;1;1000
2022-02-14;VAINILLA;1;800
2022-02-14;VAINILLA;1;1100
2022-02-14;CHOCOLATE;1;700
2022-02-14;VAINILLA;1;1800
2022-02-15;MENTA;1;850
2022-02-15;VAINILLA;1;1150
2022-02-17;FRUTILLA;1;600
2022-02-17;VAINILLA;1;800
2022-02-17;FRUTILLA;1;300
2022-02-17;CHOCOLATE;1;750
2022-02-18;MENTA;1;550
2022-02-18;VAINILLA;1;650
2022-02-18;VAINILLA;1;950
2022-02-18;VAINILLA;1;1500
2022-02-19;FRUTILLA;1;450
2022-02-19;FRUTILLA;1;450
2022-02-19;VAINILLA;1;1550
2022-02-21;VAINILLA;1;1000
2022-02-21;VAINILLA;1;750
2022-02-22;VAINILLA;1;1650
2022-02-22;VAINILLA;1;2050
2022-02-22;VAINILLA;1;850
2022-02-23;VAINILLA;1;1000
2022-02-23;FRUTILLA;1;250
2022-02-24;FRUTILLA;1;300
2022-02-24;MENTA;1;450
2022-02-26;MENTA;1;500
2022-02-28;VAINILLA;1;4500
2022-02-28;VAINILLA;1;2700
2022-02-28;MENTA;1;500
2022-03-01;MENTA;1;350
2022-03-01;TORTA SUIZA;1;550
2022-03-04;MENTA;1;1000
2022-03-04;MENTA;1;450
2022-03-07;CHOCOLATE;1;600
2022-03-07;MENTA;1;500
2022-03-07;MENTA;1;500
2022-03-08;VAINILLA;1;1500
2022-03-08;CHOCOLATE;1;1350
2022-03-08;VAINILLA;1;1150
2022-03-08;FRUTILLA;1;700
2022-03-08;CHOCOLATE;1;1900
2022-03-09;VAINILLA;1;1500
2022-03-09;MENTA;1;900
2022-03-09;MENTA;1;550
2022-03-11;VAINILLA;1;900
2022-03-14;VAINILLA;1;4150
2022-03-15;MENTA;1;550
2022-03-15;MENTA;1;550
2022-03-15;MANGO;1;950
2022-03-16;MENTA;1;850
2022-03-16;FRUTILLA;1;1050
2022-03-16;FRUTILLA;1;750
2022-03-17;MENTA;1;650
2022-03-17;CHOCOLATE;1;3250
2022-03-17;MENTA;1;600
2022-03-17;VAINILLA;1;950
2022-03-17;FRUTILLA;1;850
2022-03-18;MENTA;1;4700
2022-03-18;CHOCOLATE;1;1500
2022-03-19;MENTA;1;350
2022-03-21;VAINILLA;1;2000
2022-03-21;VAINILLA;1;1000
2022-03-22;CHOCOLATE;1;900
2022-03-22;FRUTILLA;1;750
2022-03-23;MENTA;1;500
2022-03-24;MANGO;1;550
2022-03-28;CHOCOLATE;1;950
2022-03-28;VAINILLA;1;900
2022-03-28;FRUTILLA;1;900
2022-03-28;FRUTILLA;1;400
2022-03-28;VAINILLA;1;750
2022-03-28;VAINILLA;1;1550
2022-03-28;CHOCOLATE;1;1700
2022-03-30;MENTA;1;500
2022-03-30;VAINILLA;1;1250
2022-04-02;MENTA;1;4600
2022-04-02;FRUTILLA;1;300
2022-04-02;FRUTILLA;1;750
2022-04-04;CHOCOLATE;1;1000
